"startupname","startupurl","desc"
"semipreciouscom","http://www.semiprecious.com/?rel=startups-list.com","semiprecious gem stones, jewelry and objects "
"Ziften Technologies, Inc.","http://www.ziften.com/?rel=startups-list.com"," Ziften provides enterprise client management software that enables end-to-end visibility & control of devices across Windows, the cloud and mobile devices."
"vPhysicians","http://www.vphysicians.com/?rel=startups-list.com","Home Health Care Solution vPhysicians is a Home Health Management Solution customized for elderly and disabled patients confined to their homes. The application has significantly improved collaboration between physicians and home health care staff in two practices. It’s designed to transfer ..."
"Convenience Select","http://www.convenienceselect.com/?rel=startups-list.com","Select Sports Concierge I Technology, financing and travel for youth sports organizations Convenience Select is an early-stage select sports concierge offering registration, financing, subscription-based services and travel services for select sports organizations and parents in the state of Texas.  The majority of our services are offered through www.convenienceselect.com."
"Austin Fitness Rentals","http://austinfitnessrentals.com/?rel=startups-list.com","Nationwide exercise equipment rentals (Hertz of treadmills) We provide concierge service health club quality fitness equipment rentals to residential and commercial customers. We completely eliminate: the huge upfront expense of buying, concerns about moving heavy & delicate machines, being stuck with equipment, privacy ..."
"Cake Intake","http://www.cakeintake.com/?rel=startups-list.com","People-friendly practice management software Cake Intake starts by allowing a healthcare/wellness provider take their paper/PDF based patient/client intake forms to a HIPAA secure cloud. Cake finishes by providing intuitive, lean practice management software. Our market is 2nd tier healthcare providers ..."
"Mashboard","http://www.mashboard.com/?rel=startups-list.com","All of your online services together at last. Mashboard brings information from all of your online services together in one place. Search, filter, and organize the information from any device."
"CraftLaunch","http://craftlaunch.com/?rel=startups-list.com","CraftLaunch allows Etsy sellers to easily build a beautiful website. CraftLaunch allows Etsy sellers to easily build a beautiful website for their business that automatically features their Etsy listings. We combine the best of both worlds: a dedicated website to build their brand and tell their story, and Etsy’s fantastic platform ..."
"StickyPop","http://www.stickypopapp.com/?rel=startups-list.com","Newsfeeds Exclusive to Location Stickypop is a mobile application enabling users to communicate with others in their direct environment by creating geo-social newsfeeds (Spots) exclusive to their location. A specific radius restricts a Spot’s size and only other users located within this radius ..."
"CLOUDEE","http://www.cloudee.co/?rel=startups-list.com","A marketplace for hardware services Cloudee connects concept designers, professional makers and hardware innovators with the talent and resources to bring their hardware projects to market. Connect with a global pool of talented vetted service providers and freelancers from electrical, industrial ..."
"Student Spaces","http://www.studentspaces.net/?rel=startups-list.com","Off Campus Housing Search Student Spaces.net connects college students with off campus housing more effectively than ever. Users begin by selecting their school to begin a search. After being presented with listings that specifically lease to students, they are able to sort through available ..."
"Mimir Health","http://mimirhealth.com/?rel=startups-list.com","Health Data Transformed into Health Intelligence Mimir is our flagship analytic platform. It helps healthcare providers and related organizations maximize the value of their health data in unprecedented ways. Mimir provides health intelligence that reduces costs, improves patient care, and deepens our clients’ ..."
"Melt","http://currently%20private/?rel=startups-list.com","Netflix / Spotify for fitness Training in-person is archaic, inefficient and costly. Introducing Melt, a platform for fitness programs. Melt provides the tools which enable fitness experts to create a fitness program, promote it and earn money. Personal training is a $10+ billion industry ..."
"SourceDay.com","http://www.sourceday.com/?rel=startups-list.com","The Quickbooks Of Supply Chain SourceDay.com is a SaaS/cloud supply chain portal that is easy to use and connects with existing ERP systems. Today, buyers at manufacturing companies spend over 50% of their time on routine tasks like tracking down late parts and getting status reports from suppliers. ..."
"Hunting Locator","http://www.huntinglocator.com/?rel=startups-list.com","The marketplace for hunters and outdoorsmen to find and book hunting opportunities.  Hunting Locator is a simple and powerful service that lets landowners and hunters find and post their ideal hunts in a matter of minutes. The process is even simpler than making a craigslist post and searching is far more streamlined, providing our users with a ..."
"Toochill Games","http://toochill.in/?rel=startups-list.com","Taking Vegas Mobile Toochill Games is a gaming company with a portfolio of 500+ games with over 15 million downloads and 600K active users. Toochill's flagship product is TC Casino - providing an array of casino games all bundled into one app. TC Casino allows anyone to enjoy a Vegas ..."
"Bastrop Texas Opry","http://none/?rel=startups-list.com","Branson Style Family Theater Branson style family entertainment with country, comedy, patriotic and gospel which gives an untouched audience a venue in a family smoke free, alcohol free environment while offering a stepping stone for up and coming artists"
"Blipic","http://www.trekrdesigns.com/?rel=startups-list.com","Destination and Activity Discovery for the Active Outdoor Community Blipic is a social and discovery app created to connect and engage the active outdoor community. Blipic encourages users to stay active and healthy. It helps them uncover exciting destinations, outdoor events and group activities right in their own backyard. Discover ..."
"National Security Technology Accelerator","http://www.nstxl.org/?rel=startups-list.com","Building the National Security Marketplace The National Security Technology Accelerator (NSTXL) provides a single access point for innovative companies to access the extensive Department of Defense (DoD) network and its vast resources. Companies, universities, and laboratories can utilize NSTXL services ..."
"aKtivitiZ","http://www.aktivitiz.com/?rel=startups-list.com","What's there to do! aKtivitiZ is a booking platform for Leisure, Activities & Tours. Vendors have a powerful admin section to post products and accept orders. Users will use advanced booking features based on a mathematical algorithm that will suggest Activities in the form of a Tour ..."
"Contractor View","http://www.contractorview.com/?rel=startups-list.com","Software for the independent residential contractor and home remodeler Contractor View is web and mobile job management for residential contractors and remodelers. It is lightweight web and mobile project management software that helps them stay on top of their work. Contractors can manage their construction jobs, track job schedules, ..."
"Broomly","http://www.broomly.com/?rel=startups-list.com","Uber for home services Broomly is ""uber for home services"". Our live beach-head services are maid and lawn service. We're operating in Austin and Houston."
"Health4Life","http://www.health4life.com/?rel=startups-list.com","Disruptive technology Healthcare data patient-centric medical records A patient- centric coordinated care solution where chronically ill patients have real time access to their medical records. Our solution provides patients with tools to manage and track their conditions while gather data for predictive analysis and research."
"MyDerm Portal","http://www.mydermportal.com/?rel=startups-list.com","Telemedicine for dermatologists MyDerm Portal is a store-and-forward telemedicine application that enables dermatologists to evaluate and treat their patients online. Demand for dermatology services is growing while physician reimbursements continues to decline. Using our platform, dermatologists ..."
"VR Business Sales, Mergers & Aquisitions","http://www.vrtexascapital.com/?rel=startups-list.com","Family Gear Design & Manufacturing Company A family gear company established in 2007, is essentially a team of skilled engineers who focus on enhancing the lives of families by providing practical solutions to daily life problems involving kids, using their creativity in technology. Abiie LLC owns the intellectual ..."
"Lively Meeting","http://www.livelymeeting.com/?rel=startups-list.com","Better conference room booking app The simplest and most convenient way to book your conference rooms! Find and book conference rooms easier and faster than through Microsoft Outlook and Google Enterprise. No more headaches in finding that one open room. Winner of Appcelerator Best B2E Mobile Enterprise ..."
"OneSeventeen Media, Inc.","http://www.oneseventeenmedia.com/?rel=startups-list.com","Innovating how kids use social It’s tough living in a digital world. We combine technology, data and socio-emotional principles to create a new digital platform that helps kids manage social pressures. Focused on 13-19 year olds, social media tools allow them to logically and methodically deal ..."
"Ben's Friends","http://www.bensfriends.org/?rel=startups-list.com","[Non Profit] We Build Online Support Communities for People with Rare Diseases BensFriends.org is a mission-driven 501(c)(3) nonprofit with a network of online communities that provide support for people affected by rare diseases. It was founded in 2007 by Ben Munoz after he suffered a serious stroke at age 29 caused by a rare condition called ..."
"LeagueCast","http://www.leaguecaster.com/product?rel=startups-list.com","SBNation + Twitter for youth sports orgs LeagueCast is the most effective way to manage and cover amateur sports leagues and tournaments. Our successful fall league with Suwanee Sports Academy can be found here: http://ssa.leaguecaster.com/league/1-hoopseen-fall-league. We empower our amateur sports ..."
"EnviroMedia","http://enviromedia.com/?rel=startups-list.com","Change starts here. Marketing for startups with a sustainability bent. Headquartered in Austin, EnviroMedia provides sustainability communications and consulting services to the world’s most innovative agents of change. Areas of focus include air, water, energy, waste, and alternative transportation. Giving a damn since 1997."
"TextURMind","http://www.texturmind.com/?rel=startups-list.com","On the spot views and reviews thru texting Texturmind.com, is an Austin, Texas, born and raised texting platform, that allows you to review anything and everything, on the spot, in real time, and more importantly, before that feeling is gone!! Why?because just ""checking in"" is not personal at all and ..."
"Light Arc","https://www.facebook.com/LightArcMarket?rel=startups-list.com","iTunes for Patents Light Arc is a platform to eliminate barriers to entry and market inefficiencies for inventors and businesses seeking to license their ideas"
"Light Bohrd","http://www.lightbohrd.com/?rel=startups-list.com","Ruggedized LED technology Light Bohrd is an engineering and technology company that specializes in ruggedized LED lighting. Our mission is simple - to save lives. We are applying our technology to a range of applications that include, board sports products, safety apparel, helmets, and ..."
"B-Side Entertainment","http://www.bside.com/?rel=startups-list.com"," "
"ESPEROS","http://www.esperosbags.com/?rel=startups-list.com","With every bag we sell, we help send a child in the developing world to school for a year. One Bag. One Child. One Year. ESPEROS is a one-for-one retailer dedicated to providing impoverished children in developing countries with access to an education. Our business model is fairly simple: with every product we sell, we help send a child in need to school ..."
"Zen Image","http://www.zenimg.com/?rel=startups-list.com","Image rendering for the print industry A new way to buy framed paintings and photos online. We solve a customer need that helps to customize and frame photos and classic paintings. People are reluctant to purchase physical products online without seeing the end result. We solve that problem by showing ..."
"Minicore Studios","http://www.minicorestudios.com/?rel=startups-list.com","Unique & Unprecedented Games We're a consumer-facing game developer making games that challenge our players intellectually and emotionally. Our unique narratives, characters, and settings mix flawlessly with fun gameplay to create experiences gamers will remember forever. Our games are accessible ..."
"BenCo Valet Trash Service","http://www.bencotexas.com/?rel=startups-list.com","Doorstep Trash and Recycling Pickup Service BenCo Valet Trash service provides trash and recycling pickup services to the multi-family industry. We pick up at the doorstep 5 nights/week keeping the property clean and creating an additional income stream for the property itself."
"tradified","http://www.tradified.com/?rel=startups-list.com","automatic verified stock trade tweets "
"HumorQ - An IQ Score for Humor","http://humorq.com/?rel=startups-list.com","HumorQ.com is a daily tasteful cartoon caption contest that puts a # on how funny you are HumorQ is a method of quantifying a humor score using a daily tasteful cartoon caption contest. Watch the video above to see a bit about how it works, or go to http://humorq.com yourself and try it out. Sign in using 'tester1@humorq.com' 'as your signin email ..."
"JustGolf","http://justgolfapp.com/?rel=startups-list.com","Social Gamification of Golf JustGolf is the ultimate mobile app for golfers. It includes features for golfers on the course (digital scorecard, interactive yardage book, GPS range finder) and off the course (virtual leaderboard, scorecard sharing, achievements, tee time coordination and booking). Golf ..."
"Zennity","http://www.zennity.com/?rel=startups-list.com","Think of us as the Priceline for massage, accupuncture and other holistic services myHolisticServices.com is an online market place to save time, money and energy looking for certified holistic practitioners in your area. Think of it as Priceline for massage, acupuncture, hypnosis or any other holistic field. Choose the service you are looking ..."
"Conjunctured","http://conjunctured.com/?rel=startups-list.com","Austin's first coworking space. Founded in 2009. "
"Four Kicks Marketing","http://www.fourkicksmarketing.com/?rel=startups-list.com","Social Marketing Solutions Project name : mAD Dash Phase 1: A custom display where Facebook Page admins can monitor their paid and earned efforts on Facebook. The focus and value will be on Actionable data and metrics page admins can apply to improve their communities. Phase 2: Using knowledge ..."
"Gush","http://gush.com/?rel=startups-list.com","Personalized Shopping and Price Comparison App Gush makes shopping on your iPad and Android tablet easier. Save time by browsing all of your favorite stores in one app. Save money by getting exclusive access to the coupons and deals you care about. With Gush, you can easily shop for products and find coupons ..."
"EZ2B Seen","http://ez2bseen.com/?rel=startups-list.com","The ""Neon"" Gets Cyclists SEEN by Motorists at night!! The NEON, is a lighted bicycle helmet cover designed to get Cyclists SEEN by Motorists when it's dark outside. The NEON produces an intensely bright ""Neon Like"" light that can be seen up to 1,200+ feet away at night. They come in 4 colors and only weigh 6.6 ounces ..."
"Integrated International Supply Chain","http://www.iisupplychain.com/?rel=startups-list.com","International Supplier Rating Services iiSC Have a standard Product: annual subscription fee + per report The audit reports! Economy of Scale through standardization Not a body shop Selling points Dramatic cost savings Creditable report – no conflict of interest Standardized, Unbiased Audit It is like ..."
"Sailpoint Technologies","http://www.sailpoint.com/?rel=startups-list.com"," "
"FindAMassage","http://findamassage.com/?rel=startups-list.com","Affordable Massage Web Properties Live • PR3 • Passive Income Generator Massaje offers a web platform that connects massage school students to local clients. These students are willing to offer their services at a cheaper price than certified counterparts since they are required to have a specific ..."
"FWB Loyalty","http://www.fwbloyalty.com/?rel=startups-list.com","Friends With Benefits, Customer Loyalty and Promotions  FWB is a start-up software application business focusing on the Customer Loyalty Mobile APP market. We have a very unique twist to the Punch Card strategy. We are creating the first ""Pay it Forward"" loyalty program which utilizes four critical areas - Social Media, ..."
"Invoiced","https://invoiced.com/?rel=startups-list.com","Better invoicing for SMBs Invoiced is simple invoicing for freelancers and small businesses. We allow businesses to accept online payments in just a few clicks. Our focus is helping businesses get paid on time. In order to achieve this we built an entire workflow around invoicing that ensures ..."
"XSEO","http://xseo.co/?rel=startups-list.com","SEO Online adult advertising and seo services for adult companies."
"Zilliant","http://www.zilliant.com/?rel=startups-list.com"," Zilliant is a technology solutions company in Austin that helps businesses make their numbers through price optimization and sales effectiveness solutions. To learn more, visit us or call 512-531-8500 today."
"Red Tag","http://redtagbook.com/?rel=startups-list.com","DIY Shared-cost Direct Mail Red Tag can get your business into over 75,000 Austin homes each quarter. Our direct mail magazine is held to higher standards in design and value than our competitors, because we take results seriously. You will not find a more cost-effective way to acquire customers ..."
"Libredigital","http://www.libredigital.com/?rel=startups-list.com"," For 10 years LibreDigital has been a leader in the eReading industry, now as part of RR Donnelley we are a one-stop publishing solution for both print and digital needs."
"Hyper9","http://www.hyper9.com/?rel=startups-list.com"," "
"Bridetab","http://bridetab.com/?rel=startups-list.com","Acquired by XO Group (NYSE:XOXO) Simplifying $74b in Payments Bridetab helps wedding vendors collect payments on time."
"StoredIQ","http://www.storediq.com/?rel=startups-list.com"," "
"Austin Texas Opry","http://www.austintexasopry.com/?rel=startups-list.com","Branson Style Family Theater Austin Texas Opry will bring family entertainment in a Branson style theater unlike anything currently available...and offer a stage for new up and coming singers and musicians to expose their talent in the Austin area. While there are plenty of nite clubs and ..."
"Kloc","http://kloc.me/?rel=startups-list.com","Kloc creates beautiful portfolio sites for busy developers. We create beautiful portfolio sites for busy developers. Kloc is a platform designed to help you promote your work and experience."
"Proposalware","http://www.proposalware.com/?rel=startups-list.com","Cloud based price book for sales proposals with images, videos & attachments. Saas platform for contractors and manufacturers to reach the consumer faster using a digital sales tool in the cloud which stores product photos, brochures & videos in a digital price book. Then allows the ability instantly send sales proposals & estimates from ..."
"Sparove","http://sparove.com/?rel=startups-list.com","GenBook for Health, Beauty, and Wellness Sparove's intention is to transform the health, wellness, and beauty community through innovative business management technology and lead generation. We aim to serve individuals, businesses, and consumers with the latest in health and wellness scheduling and appointment ..."
"Body Lingo","http://www.bodylingo.org/?rel=startups-list.com","Dance Fitness with Attitude We are a dance fitness company that specializes in teaching the average fitness enthusiast to perform circus style feats while getting fit, losing weight, and building lean muscle. Our goal is to help even the most average gym goer to embrace their inner performer ..."
"GivePulse","http://www.givepulse.com/?rel=startups-list.com","online community for matching volunteers with causes GivePulse is a community that matches individuals and groups to agencies that want to build memberships around service and social responsibility. Airbnb connects guests with hosts... we match givers to causes. Out platform combines the listing, management and ..."
"SubjectWell","http://subjectwell.com/?rel=startups-list.com","Online recruiting for clinical trials SubjectWell is a clinical trials recruiting company. We use an array of proven online marketing approaches to find subjects who are interested in participating in clinical trials and then quickly match them to a nearby study anywhere in the United States. This ..."
"Psymily","http://www.psymily.com/?rel=startups-list.com","Inner-Selfies Created by Honest Data Current Embodiment: Psymily is a powerful platform that mines user data on nine X-Y mind-state axis. This branching data can be extremely well filtered and potentially some of the most valuable consumer data available because of the profound honesty of Psymily ..."
"Venturephile | Venturephile.com","http://www.venturephile.com/?rel=startups-list.com","Connects entrepreneurs & service providers Whether you’re an entrepreneur, service provider or potential investor, your future partners are out there – but finding them shouldn’t be left to chance. Our user-friendly platform empowers connection: of people to people, and ideas to reality. Our forward-thinking ..."
"Prize","http://www.prize.com/?rel=startups-list.com","Life is Rewarding Prize.com has pioneered a new form of casual gaming that combines social interactions and value for brand advertisers through cash gaming, sweepstakes, and incentives. Prize gives away everything from gift cards to cars and will continue to push to be the world’s ..."
"Ghostpost","http://ghostpostlock.com/?rel=startups-list.com","Innovative bike locks We are developing and manufacturing an innovative security device for bicycles."
"iDigity","http://www.myidigity.com/?rel=startups-list.com","Real-Time ID Validation System iDigity is a B2B Software as a Service platform that provides businesses with real-time consumer identification validation and collaboration. Through iDigity, businesses can benefit from the following: •	Assurance of 100% validated consumer identity information •	Easy ..."
"CoreFitX","http://corefitx.com/?rel=startups-list.com","30-day In-Home Fitness Program CorefitX is a 5-disc, 30-day fitness DVD program that is a total body workout. The program includes one bonus DVD, an educational workout booklet, and a 30-day nutrition guide for individuals and their family members."
"SafeLain","http://www.safelain.com/?rel=startups-list.com","Responsive Expiration Date Technology  Safelain is the first ever all natural and edible oxidation indicator or responsive expiration date. It works by changing its color once oxidation occurs and can be calibrated to match the rate of oxidation with the applied pharmaceutical, nutraceutical, or food ..."
"Cingo","http://www.cingo.me/?rel=startups-list.com","One Digital ID - Forget usernames and passwords Cingo's goal is simply to replace user names and passwords with a better system for users to log into websites. Cingo provides a new way to securely access websites that require user authentication. Cingo issues a digital ID for for each user which is used for ..."
"Bisontex","http://bisontex.co/?rel=startups-list.com","Lean Mean Fighting Machine Mobile Healthcare For Veterans. The Rambo of the Tech World!  We're creating a mobile application that allows Veterans to view their personal health records, schedule/reschedule/cancel appointments, and to be able to communicate with their VA Healthcare Provider more efficiently. Hoooooah!"
"Neon Mobile","http://www.neon-mobile.com/?rel=startups-list.com","Integrated mobile applications for Small Business without an application download Small Businesses have always been at a disadvantage when it comes to technology adoption. Enterprise grade solutions come at enterprise grade pricing. In our present time, mobile surfing is mainstream, and how you interact with those customers dictates who wins. ..."
"Vinveli Unmanned Systems","https://vinveli.org/agriculture/?rel=startups-list.com","Helping farmers spray and save Vinveli is set to revolutionize agriculture by giving farmers new ways to increase yields and reduce crop damage. Very specific, very targeted, very precise Vinveli drones target those pesky crop eating bugs. Traditional ground or aircraft crop sprayers use more ..."
"Moonlight Social","http://www.moonlightsocialmusic.com/?rel=startups-list.com","The next big country music duo Moonlight Social is an independent country music duo. With a unique but accessible style that can best be described as Sugarland meets The Civil Wars, Moonlight Social is poised to break into the mainstream country market — the number 1 music market in the U.S. Supported ..."
"Interact","http://interactatx.com/?rel=startups-list.com","Bringing together the best in young tech. Interact ATX is a community of the brightest young entrepreneurs in the tech scene. The 2013 Interact class met at SXSW Interactive, backed by powerful sponsors including Andreessen Horowitz, Facebook, and others. We partnered with the Thiel Fellowship and universities ..."
"Mynt Box","http://www.myntbox.com/?rel=startups-list.com","Monthly Jewelry Subscription Box Mynt Box is an online jewelry boutique and jewelry subscription box. Shop for beautiful stylish jewelry online. Select from one of our themed jewelry subscription boxes."
"GrubBid","http://grubbid.com/?rel=startups-list.com","Dining offers on demand. The final product is a platform that will consist of an app and a web portal that will connect customers on demand to the best deals from local restaurants. This is NOT a marketplace business model, but rather an advanced advertising platform. The revenue will ..."
"Drujo Promo","http://www.drujopromo.com/?rel=startups-list.com","Developing Relationships Under Justifiable Operating Promotions Make us your advertising partner! Let us help you to reach your targeted audience and resonate with them! Build your brand – get your message across!"
"Launch Society","http://www.launchsociety.com/?rel=startups-list.com"," "
"CrwdServ","http://crwdserv.com/?rel=startups-list.com","Support Just Got Exciting CrwdServ is a platform designed to meet the needs of the growing online small business community. All of these businesses need to provide customer support, though unfortunately the owners often end up doing it themselves, as it is simply not within the budget to ..."
"K.R.I.P.Media","http://www.kripmedia.com/?rel=startups-list.com"," Social Media, Digital Media, TV, Internet Radio, Online Newspapers, Marketing, Sales and Marketing Consultants, Business Development, Content Management, Content Creation, Digital Media Agency, Internet Marketing, SEO/SEM/PPC, Content is King."
"MyMedLeads.com","http://mymedleads.com/?rel=startups-list.com","Lead management & ROI tracking for doctors MyMedLeads is a lead management tool that tracks marketing ROI, improves staff performance and automated email marketing and appointment reminders. MyMedLeads has been growing in the plastic surgery industry and has key integration partners with top practice ..."
"LucidTour","http://www.lucidtour.com/?rel=startups-list.com","Data analytics and recommendations for the live music industry. LucidTour helps musicians keep their focus where it should be -- on their music. We take the hassle out of scheduling a tour by crunching the numbers, so musicians don’t have to. We analyze fan and venue data to give musicians and band managers instant recommendations ..."
"Stoodify","http://stoodify.com/?rel=startups-list.com","Find, connect and share with your classmates Stoodify helps students find their classmates, connect with them without using their personal social networks or contact info, and then share messages, links, pictures, videos, etc."
"Good Seed","http://www.goodseedburger.com/?rel=startups-list.com","Superfood craft veggie burgers! Chef-inspired, nutrient dense vegan meals. Good Seed lets consumers have an easy way in to eating amazing nutrient-dense vegan foods. With the explosion of plant-based eating and meat alternatives, Good Seed customers are primarily the 40% of Americans that are ..."
"TrackingPoint","http://www.tracking-point.com/?rel=startups-list.com","Precision guided firearms TrackingPoint innovation created the first Precision Guided Firearm (PGF), a revolutionary new long-range shooting system that puts fighter jet lock-and-launch technology in a firearm. PGFs enable anyone to shoot like an expert marksman hitting moving targets at ..."
"Send on Behalf","http://www.sendonbehalf.com/?rel=startups-list.com","Increase response rates with collaborative e-mail. Send on Behalf is a collaborative email tool that allows people to work together to craft and send great email. We've found that using our product increases recruiting and sales email response rates by 4x. Our best customers are: - High growth companies starved ..."
"Appilicious","http://www.appiliciousapps.com/?rel=startups-list.com","Patient/Client Health Apps linked to Aesthetic Doctor's Communication Portal Appilicious created the first and most recognized hCG diet app, which compliments Dr2app.com. This solution enables patients with the app and doctors logged into the portal the ability to manage their diet protocol remotely, but in conjunction. Tasks that are ..."
"Sort","http://teamsort.com/?rel=startups-list.com","Efficient research software for small teams Sort is Software-as-a-Service that allows small teams to research more efficiently. Most research tools are simply digital warehouses. But in reality, not all research material is created equal. Sort rewards valuable highlights, annotations, and articles. By ..."
"JamFeed","http://www.jamfeed.com/?rel=startups-list.com","Personalized Breaking Music News To Your Mobile Devices JamFeed is a music news aggregation platform that allows fans and artists/bands/festivals to connect more effectively by sending breaking news stories (song/video/album/tour/lineup releases) directly to the user's mobile device through mobile push notifications. ..."
"RezOvation","http://www.rezovation.com/?rel=startups-list.com"," "
"TenantCloud","http://www.tenantcloud.com/?rel=startups-list.com","LinkedIn for Renters, Uber for Landlords TenantCloud provides a permanent place for tenants to keep all of their rental information permanently no matter where they live or from who they rent.  TenantCloud is a top tier cloud-based property management solution that assists tenants and landlords manage ..."
"Storefront Social","http://storefrontsocial.com/?rel=startups-list.com","Sell anything on Facebook "
"Greenstar Goods","https://www.greenstargoods.com/?rel=startups-list.com","Recyclable Light Fixtures We manufacture and sell through a network of Agencies, Distributors, Architects, Engineers, and ESCO's different brands of energy efficient light fixtures. The first brand-Nutech is made of recyclable plastic and is lighter, more energy efficient, and will not ..."
"AlterPoint","http://www.alterpoint.com/?rel=startups-list.com"," "
"METROREAD","http://metroread.com/?rel=startups-list.com","We make it easier to be informed about your city. METROREAD provides a better local news experience by aggregating a city's news, making it easier to read, and providing context about the topics in the news. Today, people piece together Google results to make sense of what's going on in their city. Soon, METROREAD ..."
"Get More Sessions","http://getmoresessions.com/?rel=startups-list.com","Photographers use this online contest software to generate and capture leads GetMoreSessions is web-based software (SaaS) that uses online contests to generate and capture leads for photographers. It is extremely easy to use for consumers and customers. It has both a successful and profitable history. The software runs on a customers ..."
"Dox","http://www.dox.tv/?rel=startups-list.com","Connecting brands with documentary filmmakers. Dox is a marketplace that connects brands with nonfiction filmmakers. Currently brands are struggling to fill their need for entertaining, authentic video content, meanwhile brilliant producers are working day jobs because their passion for documentary just doesn't ..."
"NetQoS","http://www.netqos.com/?rel=startups-list.com"," "
"Handsome","http://handsome.is/?rel=startups-list.com","Digital product experience strategy, design, and development. "
"Start-UP Blaster","http://www.startupblaster.com/?rel=startups-list.com","Your Pathway to Emerging Markets Start-UP Blaster, Inc. is an International Product Expansion Services provider specializing in direct exports to Mexico and Latin America. Our product-to-market strategy is the most efficient and effective way to launch your start-up’s innovative consumer product(s) ..."
"Pet Relocation","http://www.petrelocation.com/?rel=startups-list.com","Take your friend wherever life takes you. PetRelocation is a global pet relocation service provider, and our first-mover approach has given us an unparalleled industry advantage in market penetration. We deliver peace of mind to pet owners worldwide by applying a vast amount of specialized knowledge to ..."
"DataNovo, Inc.","http://www.datanovo.com/?rel=startups-list.com","Enterprise Legal software to analyze and predict the win-ability of patent law cases "
"EcoMax Oil and Gas","http://ecomaxoilandgas.com/?rel=startups-list.com","Enhanced Oil Recovery ECOMAX is applying a whole new generation of techniques and technologies in shallow plays to maximize return on investment (ROI), while reducing risk and environmental impact. With the integration of multiple data sets to decrease reservoir uncertainty, optimal ..."
"esi Technologies","http://www.esi-austin.com/?rel=startups-list.com","IT services from concept to market esi is a consulting and solutions provider that specializes in mobile software, systems integration, web and enterprise software development to customers in US. It is a best practices based limited liability corporation started by a team of experienced industry ..."
"BidAnswer Corp.","http://www.bidanswer.com/?rel=startups-list.com","A Q/A website operating like eBay eBay: bidding on durable goods TaskRabbit: bidding on service BidAnswer: bidding on information BidAnswer provides the market for the information you have and the answer you seek. BidAnswer is a site that is best described as a market for information. With a large ..."
"Collider Media","http://www.collidermedia.com/?rel=startups-list.com"," "
"Enola Labs","https://www.enolalabs.com/?rel=startups-list.com","Software Architects, Engineers and Builders of the Digital World Enola Labs creates digital products to address complex business requirements using mobile, web and all the latest underlying technologies. We serve clients from venture funded early stage companies to the Fortune 500, all with the same level of professionalism."
"MMC","https://en.wikipedia.org/wiki/MinuteMenCreatives?rel=startups-list.com","Free Advertising, Empower Youth. The first student run advertising agency. "
"FeedMagnet","http://www.feedmagnet.com/?rel=startups-list.com"," "
"Nomad Pad","http://www.nomadpad.org/?rel=startups-list.com","Live and Work with Amazing Digital Nomads We seek to create an international a network of houses that act as mid-term incubators for Digital Nomads, Web Entrepreneurs and Freelancers to work on projects together. The Nomad Pad community will be able to book a room weekly or monthly in a quality house ..."
"dgeo","http://dgeo.com/?rel=startups-list.com","Capture and Discover Your Nearby World! For a while I was working from home and I realized there are a lot of things happening close to where I live I would love to know about. Maybe my neighbors love biking, photography, gardening like I do. Or maybe someone near me is trying to get rid of some old ..."
"PerkPals","http://www.perkpals.com/?rel=startups-list.com"," PerkPals' customers are local service providers utilizing our refer-a-friend marketing application. Sign up is free and there is no speculation or money risked because participating businesses only pay for actual results and every dollar spent is clearly tied to ..."
"Apollo Vibes","http://transitions.dj/?rel=startups-list.com","Intelligent DJ Software We are building DJ software for beginner DJs. The software analyzes and labels songs with musical structure that aids in mixing and accelerates the DJ learning process. Currently available for Mac, Windows, and Linux, with a web version in development."
"Mise","http://mise.in/?rel=startups-list.com","mPOS and Data Mise is a restaurant and bar management designed for the next generation of bars and restaurants, offering completely integrated Front and Back of House management solutions at a fraction of the price of competing systems. Our complete tablet-based terminals can ..."
"HelioVolt","http://www.heliovolt.net/?rel=startups-list.com"," "
"MONKEYmedia","http://monkey.com/?rel=startups-list.com"," "
"PhoenixArtistry","http://www.phoenixartistry.com/?rel=startups-list.com","Empowering Small/Medium Business and Local Economy We aim to deliver the ""promise of technology"" to small business ventures and non-profit organizations. Receiving professional and expert help to empower their efforts is, all too often, prohibitively expensive. Our goal is to deliver help to those that need it ..."
"Hop-In.us","http://www.hop-in.us/?rel=startups-list.com","The place for fun and games! The social networking platform to find people doing the same stuff like you."
"Macheen","http://macheen.com/?rel=startups-list.com"," The Macheen Mobile Cloud Platform enables cellular connectivity services so devices have connectivity to just the sites and apps needed, without requiring a traditional data plan or Wi-Fi connection."
"Praetorian","http://www.praetorian.com/?rel=startups-list.com","Securing the Digital World. Praetorian (http://www.praetorian.com) is an information security provider dedicated to helping today's leading organizations achieve risk-management success. Through its application security, mobile security, and cloud security services, Praetorian helps clients ..."
"ENTvantage Dx","http://www.entvantagedx.com/?rel=startups-list.com","Rapid, in-office diagnostic test for bacterial sinusitis detection ENTvantage Dx, is an early-stage diagnostics company that provides Primary Care and ENT physicians with timely information on the cause of ear, nose and throat illnesses with rapid, in-office diagnostic tests. Our first product is for rapid, in-office diagnosis ..."
